2023-05-22 14:49:18,296 p=11379 u=ubuntu n=ansible | TASK [Copy artifacts to files directory] ********************************************************************************
2023-05-22 14:49:19,305 p=11379 u=ubuntu n=ansible | changed: [localhost] => (item=/home/ubuntu/ansible-aws-vpc/provision-stack/Vprofile-repo/target/vprofile-v2.war)
2023-05-22 14:49:19,315 p=11379 u=ubuntu n=ansible | TASK [Copy SQL file to files directory] *********************************************************************************
2023-05-22 14:49:19,741 p=11379 u=ubuntu n=ansible | changed: [localhost]
2023-05-22 14:49:19,757 p=11379 u=ubuntu n=ansible | PLAY RECAP **************************************************************************************************************
2023-05-22 14:49:19,757 p=11379 u=ubuntu n=ansible | localhost                  : ok=5    changed=2    unreachable=0    failed=0    skipped=1    rescued=0    ignored=0   
2023-05-22 14:49:59,597 p=12808 u=ubuntu n=ansible | PLAY [Set host to ip mapping in /etc/hosts file of all the instances in the stack] **************************************
2023-05-22 14:49:59,606 p=12808 u=ubuntu n=ansible | TASK [Gathering Facts] **************************************************************************************************
2023-05-22 14:50:01,568 p=12808 u=ubuntu n=ansible | ok: [cntl]
2023-05-22 14:50:01,670 p=12808 u=ubuntu n=ansible | ok: [web01]
2023-05-22 14:50:02,535 p=12808 u=ubuntu n=ansible | ok: [app01]
2023-05-22 14:50:02,713 p=12808 u=ubuntu n=ansible | ok: [rmq01]
2023-05-22 14:50:02,872 p=12808 u=ubuntu n=ansible | ok: [mc01]
2023-05-22 14:50:04,421 p=12808 u=ubuntu n=ansible | ok: [db01]
2023-05-22 14:50:04,438 p=12808 u=ubuntu n=ansible | TASK [Import VPC setup Variable] ****************************************************************************************
2023-05-22 14:50:04,488 p=12808 u=ubuntu n=ansible | ok: [cntl]
2023-05-22 14:50:04,508 p=12808 u=ubuntu n=ansible | ok: [web01]
2023-05-22 14:50:04,533 p=12808 u=ubuntu n=ansible | ok: [app01]
2023-05-22 14:50:04,556 p=12808 u=ubuntu n=ansible | ok: [rmq01]
2023-05-22 14:50:04,556 p=12808 u=ubuntu n=ansible | ok: [mc01]
2023-05-22 14:50:04,565 p=12808 u=ubuntu n=ansible | ok: [db01]
